name,latitude,longitude
Allahabad -  Allahabad Airport (India) (IXD),0.444013502,1.4265257
Allakaket -  Allakaket Airport (United States) (AET),1.161548096,-2.663756306
Alldays -  Alldays Airport (South Africa) (ADY),-0.395823236,0.507114141
Pittsburgh -  Allegheny County Airport (United States) (AGC),0.704317159,-1.395045139
Delta Junction -  Allen Army Airfield (United States) (BIG),1.116914714,-2.543328694
Allendorf -  Allendorf/Eder Airport (Germany),0.890728781,0.151509115
Alliance -  Alliance Municipal Airport (United States) (AIA),0.733966797,-1.7942683
Allstedt -  Allstedt Airport (Germany),0.896759842,0.199782023
Alluitsup Paa -  Alluitsup Paa Heliport (Greenland) (LLU),1.055303733,-0.795332054
Alma -  Alma Airport (Canada) (YTF),0.846640016,-1.250387022
Alma-ata -  Almaty Airport (Kazakhstan) (ALA),0.756636889,1.344610327
Cairo -  Almaza Air Force Base (Egypt),0.525201,0.547335264
Almeria -  Almeria International Airport (Spain) (LEI),0.643047343,-0.041366049
Trelew -  Almirante Marco Andres Zar Airport (Argentina) (REL),-0.754165496,-1.139181639
Rio Hacha -  Almirante Padilla Airport (Colombia) (RCH),0.20117014,-1.27279881
Along -  Along Airport (India) (IXV),0.491751763,1.654607072
Chitre -  Alonso Valderrama Airport (Panama) (CTD),0.139414111,-1.403413989
Alpena -  Alpena County Regional Airport (United States) (APN),0.786761236,-1.458402407
Alpha -  Alpha Airport (Australia) (ABH),-0.412702283,2.558373431
Alphonse -  Alphonse Airport (Seychelles),-0.122256474,0.920245792
Alpine -  Alpine Casparis Municipal Airport (United States) (ALE),0.530304316,-1.809627148
Alpnach -  Alpnach Air Base (Switzerland),0.819325636,0.144586042
Alta -  Alta Airport (Norway) (ALF),1.221313292,0.407913122
Altai -  Altai Airport (Mongolia) (LTI),0.809420875,1.679375002
Altamira -  Altamira Airport (Brazil) (ATM),-0.056791444,-0.912004376
Altay -  Altay Air Base (China) (AAT),0.83339272,1.53738737
Altenburg -  Altenburg-Nobitz Airport (Germany) (AOC),0.889802799,0.218277666
Altoona -  Altoona Blair County Airport (United States) (AOO),0.703304825,-1.366941865
Altus -  Altus Air Force Base (United States) (LTS),0.60505502,-1.732530766
Alula -  Alula Airport (Somalia) (ALU),0.208709963,0.885719689
Alverca -  Alverca Air Base (Portugal) (AVR),0.678641626,-0.157604977
Alxa Left Banner -  Alxa Left Banner Bayanhot Airport (China) (AXF),0.676285589,1.842868374
Alxa Right Banner -  Alxa Right Banner Badanjilin Airport (China) (RHT),0.684605399,1.772312042
Zintan -  Alzintan Airport (Libya) (ZIS),0.554576241,0.213803881
Am Timan -  Am Timan Airport (Chad) (AMC),0.192579637,0.353848056
Pasaje -  Amable Calle Gutierrez Airport (Ecuador),-0.057939171,-1.392235237
Tepic -  Amado Nervo National Airport (Mexico) (TPQ),0.373840799,-1.829855583
Amakusa -  Amakusa Airport (Japan) (AXJ),0.566926539,2.271703049
Amami -  Amami Airport (Japan) (ASJ),0.496207565,2.263918887
