id,scope,level1,level2,level3,level4,level5,unitOfMeasurement,greenHouseGas,greenHouseGasEmissionFactor,yearOfData,yearOfRelease,reference,referenceFile,notes
57,Scope 1,Fuels,Liquid fuels,Gas oil,,,tonnes,kg CO2e,3226.57859,2024,2024,"DESNZ, UK, 2024",13,
58,Scope 1,Fuels,Liquid fuels,Gas oil,,,litres,kg CO2e,2.75541,2024,2024,"DESNZ, UK, 2024",13,
59,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Net CV),kg CO2e,0.27287,2024,2024,"DESNZ, UK, 2024",13,
60,Scope 1,Fuels,Liquid fuels,Gas oil,,,kWh (Gross CV),kg CO2e,0.25649,2024,2024,"DESNZ, UK, 2024",13,
61,Scope 1,Fuels,Liquid fuels,Lubricants,,,tonnes,kg CO2e,3180.99992,2024,2024,"DESNZ, UK, 2024",13,
62,Scope 1,Fuels,Liquid fuels,Lubricants,,,litres,kg CO2e,2.74934,2024,2024,"DESNZ, UK, 2024",13,
63,Scope 1,Fuels,Liquid fuels,Lubricants,,,kWh (Net CV),kg CO2e,0.281,2024,2024,"DESNZ, UK, 2024",13,
64,Scope 1,Fuels,Liquid fuels,Lubricants,,,kWh (Gross CV),kg CO2e,0.26414,2024,2024,"DESNZ, UK, 2024",13,
65,Scope 1,Fuels,Liquid fuels,Naphtha,,,tonnes,kg CO2e,3142.3789,2024,2024,"DESNZ, UK, 2024",13,
66,Scope 1,Fuels,Liquid fuels,Naphtha,,,litres,kg CO2e,2.11894,2024,2024,"DESNZ, UK, 2024",13,
67,Scope 1,Fuels,Liquid fuels,Naphtha,,,kWh (Net CV),kg CO2e,0.24891,2024,2024,"DESNZ, UK, 2024",13,
68,Scope 1,Fuels,Liquid fuels,Naphtha,,,kWh (Gross CV),kg CO2e,0.23647,2024,2024,"DESNZ, UK, 2024",13,
69,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,,tonnes,kg CO2e,2778.52935,2024,2024,"DESNZ, UK, 2024",13,
70,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CO2,3029.26,2024,2024,"DESNZ, UK, 2024",13,
71,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,,litres,kg CO2e,2.0844,2024,2024,"DESNZ, UK, 2024",13,
72,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,,kWh (Net CV),kg CO2e,0.2324,2024,2024,"DESNZ, UK, 2024",13,
73,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,,kWh (Gross CV),kg CO2e,0.22013,2024,2024,"DESNZ, UK, 2024",13,
74,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,,tonnes,kg CO2e,3154.08213,2024,2024,"DESNZ, UK, 2024",13,
75,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,,litres,kg CO2e,2.35372,2024,2024,"DESNZ, UK, 2024",13,
76,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,,kWh (Net CV),kg CO2e,0.2546,2024,2024,"DESNZ, UK, 2024",13,
77,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,,kWh (Gross CV),kg CO2e,0.24186,2024,2024,"DESNZ, UK, 2024",13,
78,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,,tonnes,kg CO2e,3228.89019,2024,2024,"DESNZ, UK, 2024",13,
79,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,,litres,kg CO2e,3.17493,2024,2024,"DESNZ, UK, 2024",13,
80,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,,kWh (Net CV),kg CO2e,0.28523,2024,2024,"DESNZ, UK, 2024",13,
81,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,,kWh (Gross CV),kg CO2e,0.26814,2024,2024,"DESNZ, UK, 2024",13,
82,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,tonnes,kg CO2e,3226.57859,2024,2024,"DESNZ, UK, 2024",13,
83,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,litres,kg CO2e,2.75541,2024,2024,"DESNZ, UK, 2024",13,
84,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,kWh (Net CV),kg CO2e,0.27287,2024,2024,"DESNZ, UK, 2024",13,
85,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,kWh (Gross CV),kg CO2e,0.25649,2024,2024,"DESNZ, UK, 2024",13,
86,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CH4,2.52,2024,2024,"DESNZ, UK, 2024",13,
87,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,,tonnes,kg CO2e,2944.32093,2024,2024,"DESNZ, UK, 2024",13,
88,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,,kWh (Net CV),kg CO2e,0.25961,2024,2024,"DESNZ, UK, 2024",13,
89,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,,kWh (Gross CV),kg CO2e,0.24662,2024,2024,"DESNZ, UK, 2024",13,
90,Scope 1,Fuels,Liquid fuels,Waste oils,,,tonnes,kg CO2e,3219.37916,2024,2024,"DESNZ, UK, 2024",13,
91,Scope 1,Fuels,Liquid fuels,Waste oils,,,litres,kg CO2e,2.74923,2024,2024,"DESNZ, UK, 2024",13,
92,Scope 1,Fuels,Liquid fuels,Waste oils,,,kWh (Net CV),kg CO2e,0.27458,2024,2024,"DESNZ, UK, 2024",13,
93,Scope 1,Fuels,Liquid fuels,Waste oils,,,kWh (Gross CV),kg CO2e,0.25641,2024,2024,"DESNZ, UK, 2024",13,
94,Scope 1,Fuels,Liquid fuels,Marine gas oil,,,tonnes,kg CO2e,3245.30441,2024,2024,"DESNZ, UK, 2024",13,
95,Scope 1,Fuels,Liquid fuels,Marine gas oil,,,litres,kg CO2e,2.77139,2024,2024,"DESNZ, UK, 2024",13,
